"Abraham Bradley, Jr.",Hannah Smith
"Adelbert Brownlow-Cust, 3rd Earl Brownlow",Lady Adelaide Chetwynd-Talbot (1844-1917)
"Adolphe, Grand Duke of Luxembourg",Grand Duchess Elizabeth Mikhailovna of Russia
"Adolphe, Grand Duke of Luxembourg",Princess Adelheid-Marie of Anhalt-Dessau
"Adolphus Frederick II, Duke of Mecklenburg",Christiane Emilie of Schwarzburg-Sondershausen
"Adolphus Frederick II, Duke of Mecklenburg",Johanna of Saxe-Gotha
"Adolphus Frederick II, Duke of Mecklenburg",Maria of Mecklenburg-Gustrow
"Adolphus Frederick V, Grand Duke of Mecklenburg",Princess Elisabeth of Anhalt
"Adrian Buckmaster, 4th Viscount Buckmaster",Elizabeth Mary Mark
"Afonso, Prince Royal of Portugal",Nevada Stoody Hayes
"Afonso, Prince of Portugal","Isabella, Princess of Asturias (1470-1498)"
"Afonso, Prince of Portugal","Isabella, Princess of Asturias"
"Agatha, wife of Samuil",Samuil of Bulgaria
"Agnes Douglas, Countess of Argyll","Archibald Campbell, 7th Earl of Argyll"
"Agnes Keith, Countess of Moray","Colin Campbell, 6th Earl of Argyll"
"Agnes Keith, Countess of Moray","James Stewart, 1st Earl of Moray"
"Agnes Leslie, Countess of Morton","William Douglas, 6th Earl of Morton"
"Agnes Mortimer, Countess of Pembroke","Laurence Hastings, 1st Earl of Pembroke"
"Agnes Mortimer, Countess of Pembroke",John de Hakelut
"Agnes of Burgundy, Duchess of Aquitaine","Geoffrey II, Count of Anjou"
"Agnes of Burgundy, Duchess of Aquitaine","William V, Duke of Aquitaine"
"Agnes of France, Duchess of Burgundy","Robert II, Duke of Burgundy"
"Ailwyn Fellowes, 1st Baron Ailwyn",Hon. Agatha Jolliffe (d. 1938)
"Al Freeman, Jr.",Sevara Clemon (1960&ndash;present)
"Alan Hale, Sr.",Gretchen Hartman (1914-1950) (his death)
"Alan Howarth, Baron Howarth of Newport",Gillian Chance
"Alan Ladd, Jr.",Cindra Ladd
"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",(1918-2003)
"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",Lady Florence Guinness
"Alastair Campbell, Lord Bracadale",Flora Beaton
"Alastair Goodlad, Baron Goodlad",Cecilia Hurst
