Clinton-Obama	75
Obama-Clinton	75
Barack Obama-Hillary Rodham Clinton	68
Hillary Rodham Clinton-Barack Obama	68
Bill Clinton-Hillary Rodham Clinton	54
Hillary Rodham Clinton-Bill Clinton	43
Barack Obama-Bill Clinton	27
Bill Clinton-Barack Obama	27
McCain-Obama	24
Obama-McCain	24
Benazir Bhutto-Asif Ali Zardari	17
Barack Obama-John Edwards	16
Hillary Clinton-Obama	16
John Edwards-Barack Obama	16
Obama-Hillary Clinton	16
Chazz-Jimmy	15
Jimmy-Chazz	15
Barack Obama-Michelle Obama	14
Barack Obama-John McCain	12
John McCain-Barack Obama	12
Malia-Sasha	12
Sasha-Malia	12
Asif Ali Zardari-Benazir Bhutto	11
Edwards-Obama	11
McCain-Palin	11
Michelle-Obama	11
Obama-Edwards	11
Palin-McCain	11
Bhutto-Zardari	10
Cindy McCain-John McCain	10
Michelle Obama-Barack Obama	10
Obama-Michelle	10
Zardari-Bhutto	10
Boyd-Clapton	9
Bush-Obama	9
Clapton-Boyd	9
Leslie Mann-Paul Rudd	9
Obama-Bush	9
Paul Rudd-Leslie Mann	9
John McCain-Sarah Palin	8
Katherine Heigl-Judd Apatow	8
Miller-Savin	8
Sarah Palin-John McCain	8
Savin-Miller	8
Sharif-Zardari	8
Zardari-Sharif	8
Bill Clinton-Hillary Clinton	7
George-Martha	7
Hillary Clinton-Bill Clinton	7
Hillary Rodham Clinton-Obama	7
