Clinton-Obama	90
Obama-Clinton	90
Barack Obama-Hillary Rodham Clinton	64
Hillary Rodham Clinton-Barack Obama	64
Hillary Rodham Clinton-Bill Clinton	39
Bill Clinton-Hillary Rodham Clinton	37
McCain-Obama	27
Obama-McCain	27
Barack Obama-Bill Clinton	22
Bill Clinton-Barack Obama	22
Hillary Clinton-Obama	17
Obama-Hillary Clinton	17
Barack Obama-John Edwards	15
John Edwards-Barack Obama	15
Michelle Obama-Barack Obama	15
Hillary Clinton-Bill Clinton	13
Bhutto-Zardari	12
Bill Clinton-Hillary Clinton	12
Edwards-Obama	12
Malia-Sasha	12
Obama-Edwards	12
Sasha-Malia	12
Zardari-Bhutto	12
Bush-Obama	11
Obama-Bush	11
Asif Ali Zardari-Benazir Bhutto	10
Barack Obama-John McCain	10
Barack Obama-Michelle Obama	10
John McCain-Barack Obama	10
Michelle-Obama	10
Obama-Michelle	10
Tom Cruise-Katie Holmes	10
Barack Obama-Hillary Clinton	9
Cindy McCain-John McCain	9
Hillary Clinton-Barack Obama	9
Katie Holmes-Tom Cruise	9
Sarah Palin-John McCain	9
Sharif-Zardari	9
Zardari-Sharif	9
Bill Richardson-Obama	8
Chazz-Jimmy	8
Jimmy-Chazz	8
John McCain-Cindy McCain	8
John McCain-Sarah Palin	8
Leslie Mann-Paul Rudd	8
Margera-Rothstein	8
McCain-Palin	8
Obama-Bill Richardson	8
Palin-McCain	8
Paul Rudd-Leslie Mann	8
