Benazir Bhutto-Asif Ali Zardari	36
Asif Ali Zardari-Benazir Bhutto	34
Elizabeth Edwards-John Edwards	11
John Edwards-Elizabeth Edwards	10
Barack Obama-Michelle Obama	9
Britney Spears-Kevin Federline	9
Michelle Obama-Barack Obama	9
Carla Bruni-Nicolas Sarkozy	8
Hillary Rodham Clinton-Bill Clinton	8
Kevin Federline-Britney Spears	8
Nicolas Sarkozy-Carla Bruni	7
Bill Clinton-Hillary Rodham Clinton	6
Madonna-Guy Ritchie	6
Cindy McCain-John McCain	5
John Kerry-Teresa Heinz Kerry	5
John McCain-Cindy McCain	5
Nelson Mandela-Graca Machel	5
Paul McCartney-Heather Mills	5
Annette de la Renta-Oscar de la Renta	4
Arun Nayar-Elizabeth Hurley	4
Elizabeth Hurley-Arun Nayar	4
Graca Machel-Nelson Mandela	4
Heather Mills-Paul McCartney	4
Katie Holmes-Tom Cruise	4
Oscar de la Renta-Annette de la Renta	4
Star Jones-Al Reynolds	4
Teresa Heinz Kerry-John Kerry	4
Guy Ritchie-Madonna	3
Jennifer Lopez-Marc Anthony	3
Marc Anthony-Jennifer Lopez	3
Tom Cruise-Katie Holmes	3
Alice Coltrane-John Coltrane	2
Alma Powell-Colin Powell	2
Al Reynolds-Star Jones	2
Ashton Kutcher-Demi Moore	2
Asif Ali Zardari-Nawaz Sharif	2
Aung San Suu Kyi-Michael Aris	2
Brad Pitt-Jennifer Aniston	2
Cheril Morrison-George Morrison	2
Danielle Lloyd-Britney Spears	2
Danielle Lloyd-Heather Mills	2
David Beckham-Victoria Beckham	2
Dean McDermott-Tori Spelling	2
Demi Moore-Ashton Kutcher	2
Dempster-Vivien Merchant	2
Dick Cheney-Lynne Cheney	2
Donny Osmond-Debbie Osmond	2
Eliot Spitzer-Silda Wall Spitzer	2
Eva Longoria-Tony Parker	2
George Morrison-Cheril Morrison	2
